// 示例银行卡数据
// 格式：卡号|月|年|CVC
// 注意：这些都是测试数据，请勿用于真实支付

5598880351374121|01|2026|641
5598880355787062|03|2030|314
5598880357867078|08|2027|498
5598880354133565|12|2033|559
5598880354842777|12|2030|193
5598880352083606|02|2031|421
5598880354627848|01|2033|949
5598880358077818|01|2031|371
5598880357502741|05|2028|636
5598880355602055|05|2033|590
5598880356721439|07|2029|825
5598880353456782|09|2032|176
5598880354789123|11|2028|934
5598880357890345|04|2030|567
5598880351234567|06|2031|892
5598880358901234|02|2029|451
5598880355678901|08|2033|723
5598880352345678|10|2027|186
5598880359012345|12|2032|349
5598880356789012|01|2030|576
5598880353456789|03|2031|698
5598880357890123|05|2029|234
5598880354567890|07|2032|867
5598880351234890|09|2028|123
5598880358901567|11|2030|489
5598880355678234|01|2033|756
5598880352345901|03|2031|012
5598880359012678|05|2029|345
5598880356789345|07|2032|678
5598880353456012|09|2028|901
5598880357890456|11|2030|234
5598880354567123|01|2033|567
5598880351234456|03|2031|890
5598880358901789|05|2029|123
5598880355678012|07|2032|456
5598880352345234|09|2028|789
5598880359012901|11|2030|012
5598880356789678|01|2033|345
5598880353456345|03|2031|678
5598880357890789|05|2029|901
5598880354567456|07|2032|234
5598880351234789|09|2028|567
5598880358901012|11|2030|890
5598880355678345|01|2033|123
5598880352345567|03|2031|456
5598880359012234|05|2029|789
5598880356789901|07|2032|012
5598880353456678|09|2028|345
5598880357890012|11|2030|678
5598880354567789|01|2033|901

// 使用方法：
// 1. 复制以上数据（不包括注释行）
// 2. 打开扩展程序管理界面
// 3. 粘贴到"银行卡数据管理"文本框
// 4. 点击"更新银行卡数据"

// 注意事项：
// - 最多支持100张银行卡
// - 每张卡只能使用一次（除非重置使用状态）
// - 所有数据仅为测试目的，请勿用于真实支付
